numNodes,simTime,numLookups,churnRounds,churnInterval,LookupAttempts,LookupSuccesses,SuccessRate,AvgLatency,AvgHops
64,60.0,200,0,0,200,198,0.99,0.0319533,3.82323
64,60.0,200,0,2.0,200,198,0.99,0.0319533,3.82323
64,60.0,200,0,4.0,200,198,0.99,0.0319533,3.82323
64,60.0,200,0,6.0,200,198,0.99,0.0319533,3.82323
64,60.0,200,3,0,200,198,0.99,0.0319533,3.82323
64,60.0,200,3,2.0,200,170,0.85,0.0323337,3.75882
64,60.0,200,3,4.0,200,145,0.725,0.0334887,3.74483
64,60.0,200,3,6.0,200,126,0.63,0.0339448,3.74603
64,60.0,200,5,0,200,198,0.99,0.0319533,3.82323
64,60.0,200,5,2.0,200,156,0.78,0.0332903,3.75641
64,60.0,200,5,4.0,200,134,0.67,0.033871,3.76119
64,60.0,200,5,6.0,200,97,0.485,0.0339772,3.65979
128,60.0,200,0,0,200,198,0.99,0.0425407,4.33838
128,60.0,200,0,2.0,200,198,0.99,0.0425407,4.33838
128,60.0,200,0,4.0,200,198,0.99,0.0425407,4.33838
128,60.0,200,0,6.0,200,198,0.99,0.0425407,4.33838
128,60.0,200,3,0,200,198,0.99,0.0425407,4.33838
128,60.0,200,3,2.0,200,179,0.895,0.0435809,4.38547
128,60.0,200,3,4.0,200,158,0.79,0.0433754,4.26582
128,60.0,200,3,6.0,200,136,0.68,0.0439149,4.27206
128,60.0,200,5,0,200,198,0.99,0.0425407,4.33838
128,60.0,200,5,2.0,200,158,0.79,0.0434057,4.29114
128,60.0,200,5,4.0,200,119,0.595,0.0447262,4.17647
128,60.0,200,5,6.0,200,108,0.54,0.0444374,4.21296
